n=6 m=16: UNSAT  0.2s  clauses=32210
n=6 m=17: UNSAT  0.4s  clauses=36264
n=6 m=18: UNSAT  0.6s  clauses=40558
n=6 m=19: UNSAT  0.6s  clauses=45092
n=6 m=20: UNSAT  0.7s  clauses=49866
n=6 m=21: UNSAT  2.1s  clauses=54880
n=6 m=22: UNSAT  3.7s  clauses=60134
n=7 m=16: UNSAT  1.2s  clauses=56075
n=7 m=17: UNSAT  1.5s  clauses=63150
n=7 m=18: UNSAT  2.2s  clauses=70645
n=7 m=19: UNSAT  5.1s  clauses=78560
n=7 m=20: UNSAT  9.3s  clauses=86895
n=7 m=21: UNSAT  18.2s  clauses=95650
n=7 m=22: UNSAT  30.4s  clauses=104825
n=7 m=23: UNSAT  78.9s  clauses=114420
n=7 m=24: UNSAT  212.6s  clauses=124435
n=7 m=25: UNSAT  287.0s  clauses=134870
n=7 m=26: UNSAT  495.6s  clauses=145725
n=7 m=27: UNSAT  679.5s  clauses=157000
