family,order,nodes,witnesses,property_rejects,certificate_bytes,generate_seconds,check_seconds,ratio,verdict
"R(3,4)",4,12,16,7,324,0.0008,0.0004,0.4371,VERIFIED
"R(3,4)",5,21,55,55,940,0.0028,0.0009,0.3259,VERIFIED
"R(3,4)",6,36,118,265,2066,0.0089,0.0023,0.2597,VERIFIED
"R(3,4)",7,45,168,1166,3103,0.0175,0.0053,0.3023,VERIFIED
"R(3,4)",8,48,173,2310,3270,0.0223,0.0069,0.3104,VERIFIED
"R(3,4)",9,48,173,3078,3294,0.0253,0.0079,0.312,VERIFIED
"R(3,5)",6,58,235,270,4063,0.0194,0.0036,0.1866,VERIFIED
"R(3,5)",7,129,809,1673,15125,0.0937,0.017,0.1809,VERIFIED
"R(3,5)",8,308,2287,9104,46581,0.4227,0.0545,0.1288,VERIFIED
"R(3,5)",9,598,5222,51703,115223,1.4674,0.1926,0.1313,VERIFIED
"R(3,5)",10,911,8078,197014,188891,3.6211,0.5256,0.1452,VERIFIED
"R(4,4)",6,124,649,182,11174,0.0397,0.0112,0.2832,VERIFIED
"R(4,4)",7,486,3753,2092,71750,0.2672,0.0664,0.2484,VERIFIED
"R(4,4)",8,2565,23446,26656,496933,2.3742,0.5326,0.2243,VERIFIED
"R(4,4)",9,17266,167922,399703,3915639,24.7757,5.0248,0.2028,VERIFIED
triangle-free,4,13,16,6,329,0.0008,0.0003,0.3598,VERIFIED
triangle-free,5,27,73,47,1227,0.0047,0.0012,0.2484,VERIFIED
triangle-free,6,65,270,260,4684,0.0297,0.0043,0.1437,VERIFIED
triangle-free,7,172,1147,1708,21631,0.226,0.0193,0.0854,VERIFIED
triangle-free,8,582,5020,11121,104246,2.157,0.0956,0.0443,VERIFIED
triangle-free,9,2479,27272,91932,623367,25.2119,0.5887,0.0234,VERIFIED
